,,AMPL/USD,AMPL/USD,AMPL/USDT,AMPL/USDT,USDT/USD,USDT/USD
,,Trade Size,Price,Trade Size,Price,Trade Size,Price
time,type,,,,,,
0.0,OB Update,,,,,,
1665651305.433195,Sell Trade,,,,,0.9998,0.54
1665651306.21244,Buy Trade,1.0518,47.0,,,,
1665651306.243001,Sell Trade,,,1.0549,140.0,,
1665651306.26764,Sell Trade,,,1.0549,46.0,,
1665651306.269207,Buy Trade,1.0518,93.0,,,,
1665651306.269207,Buy Trade,1.0518,1.0,,,,
1665651306.296945,Buy Trade,1.0519,27.0,,,,
1665651306.296945,Buy Trade,1.0522,27.0,,,,
1665651306.296945,Buy Trade,1.0557,82.0,,,,
1665651306.296945,Buy Trade,1.0564,5.0,,,,
1665651306.297361,Sell Trade,,,,,0.9998,0.1
1665651306.297766,Sell Trade,,,,,0.9998,209.67
1665651306.318175,Sell Trade,,,1.0549,25.0,,
1665651306.318175,Sell Trade,,,1.0484,15.0,,
1665651306.318175,Sell Trade,,,1.0446,11.0,,
1665651306.318175,Sell Trade,,,1.0439,25.0,,
1665651306.318175,Sell Trade,,,1.0437,27.0,,
1665651306.318175,Sell Trade,,,1.0431,24.0,,
1665651306.388061,Sell Trade,,,,,0.9998,149.22
1665651306.388784,Sell Trade,,,,,0.9998,26.62
1665651306.389371,Sell Trade,,,,,0.9998,133.27
1665651306.422564,Buy Trade,1.0564,1.0,,,,
1665651306.740517,Sell Trade,,,1.0437,1.0,,
1665651306.939074,Sell Trade,,,,,0.9998,1.04
